Date,Open,High,Low,Close,Adj Close,Volume
2018-08-09,48.599998,49.490002,48.509998,48.790001,48.790001,1776600
2018-08-10,51.799999,53.410000,51.000000,51.939999,51.939999,3686700
2018-08-13,50.730000,51.000000,48.950001,48.990002,48.990002,1926800
2018-08-14,49.259998,52.730000,49.139999,52.680000,52.680000,2259200
2018-08-15,52.070000,52.639999,51.389999,51.910000,51.910000,1051200
2018-08-16,52.299999,52.720001,51.439999,51.610001,51.610001,937500
2018-08-17,51.480000,51.610001,50.430000,50.779999,50.779999,873100
2018-08-20,50.799999,51.290001,50.090000,50.430000,50.430000,887800
2018-08-21,50.439999,51.619999,50.270000,50.570000,50.570000,901200
2018-08-22,50.439999,50.820000,49.970001,50.250000,50.250000,800000
2018-08-23,50.250000,50.453999,49.490002,49.889999,49.889999,1173700
2018-08-24,49.900002,50.889999,49.900002,50.730000,50.730000,667800
2018-08-27,51.020000,51.650002,50.830002,51.400002,51.400002,755100
2018-08-28,51.400002,52.139999,51.330002,52.070000,52.070000,484700
2018-08-29,52.180000,52.299999,51.189999,51.220001,51.220001,654700
2018-08-30,51.119999,51.340000,50.650002,50.860001,50.860001,495800
2018-08-31,50.700001,51.709999,50.282001,51.369999,51.369999,543400
2018-09-04,51.500000,51.639999,50.990002,51.380001,51.380001,413000
2018-09-05,51.049999,51.220001,49.799999,50.119999,50.119999,657600
2018-09-06,50.209999,50.660000,49.799999,49.810001,49.810001,722100
2018-09-07,49.840000,51.130001,49.500000,50.360001,50.360001,945300
2018-09-10,50.689999,51.007000,50.060001,50.750000,50.750000,581200
2018-09-11,50.380001,51.000000,50.080002,50.259998,50.259998,607100
2018-09-12,50.200001,50.700001,49.820000,50.619999,50.619999,531800
2018-09-13,51.000000,51.595001,50.689999,50.860001,50.860001,565700
2018-09-14,51.000000,51.869999,50.810001,51.639999,51.639999,679300
2018-09-17,51.599998,51.900002,49.570000,49.570000,49.570000,961800
2018-09-18,49.630001,50.230000,49.000999,50.020000,50.020000,1682600
2018-09-19,50.220001,51.400002,49.060001,49.389999,49.389999,737000
2018-09-20,49.799999,50.169998,49.500000,49.849998,49.849998,932800
2018-09-21,49.990002,50.880001,49.799999,50.270000,50.270000,1507500
2018-09-24,50.529999,50.529999,49.759998,50.150002,50.150002,957400
2018-09-25,50.419998,53.980000,50.181999,53.720001,53.720001,3182900
2018-09-26,54.200001,55.349998,53.759998,54.160000,54.160000,2243300
2018-09-27,54.110001,54.770000,53.529999,53.709999,53.709999,837300
2018-09-28,53.509998,54.459999,53.509998,54.029999,54.029999,604100
2018-10-01,54.250000,54.459999,52.720001,53.529999,53.529999,963100
2018-10-02,53.270000,53.275002,50.959999,51.470001,51.470001,1308500
2018-10-03,51.310001,51.514999,49.560001,50.529999,50.529999,1282900
2018-10-04,50.299999,51.195000,49.619999,50.980000,50.980000,1072400
2018-10-05,50.939999,51.369999,48.150002,49.490002,49.490002,2552600
2018-10-08,48.799999,49.410000,47.389999,48.410000,48.410000,1494400
2018-10-09,48.349998,49.250000,48.220001,48.630001,48.630001,1827000
2018-10-10,48.520000,48.860001,46.049999,46.450001,46.450001,2237300
2018-10-11,45.980000,46.580002,45.049999,45.410000,45.410000,2105400
2018-10-12,46.480000,47.450001,45.799999,46.419998,46.419998,1393400
2018-10-15,46.259998,47.025002,45.709999,46.619999,46.619999,1042800
2018-10-16,47.240002,49.560001,47.134998,49.450001,49.450001,1090200
2018-10-17,49.529999,49.840000,49.029999,49.450001,49.450001,1071300
2018-10-18,49.090000,49.599998,47.770000,47.950001,47.950001,903700
2018-10-19,48.130001,48.730000,47.790001,48.000000,48.000000,1208700
2018-10-22,48.240002,48.750000,47.369999,48.139999,48.139999,903100
2018-10-23,47.540001,47.889999,45.660000,47.400002,47.400002,1415300
2018-10-24,47.389999,48.110001,45.410000,45.439999,45.439999,924800
2018-10-25,45.770000,47.040001,45.346001,46.540001,46.540001,823600
2018-10-26,45.700001,47.599998,45.470001,46.730000,46.730000,1033400
2018-10-29,47.580002,47.820000,44.970001,45.630001,45.630001,967600
2018-10-30,45.689999,47.860001,45.360001,47.619999,47.619999,1329400
2018-10-31,48.320000,49.500000,47.935001,49.090000,49.090000,965700
2018-11-01,49.380001,49.500000,48.169998,49.139999,49.139999,915700
2018-11-02,49.680000,50.000000,47.970001,48.290001,48.290001,808700
2018-11-05,48.189999,48.200001,46.959999,47.099998,47.099998,1070600
2018-11-06,47.000000,48.189999,46.891998,47.480000,47.480000,1279600
2018-11-07,52.430000,57.250000,51.687000,55.570000,55.570000,4357200
2018-11-08,55.570000,57.660000,55.349998,56.610001,56.610001,1728700
2018-11-09,56.529999,56.641998,54.360001,54.990002,54.990002,974500
2018-11-12,52.880001,53.560001,49.740002,51.099998,51.099998,2532000
2018-11-13,51.180000,52.970001,51.180000,52.090000,52.090000,1213000
2018-11-14,52.970001,53.810001,51.669998,52.549999,52.549999,1385800
2018-11-15,52.400002,54.130001,51.590000,53.759998,53.759998,1079800
2018-11-16,53.090000,54.279999,52.389999,53.439999,53.439999,1068900
2018-11-19,53.299999,53.439999,50.470001,50.669998,50.669998,1383000
2018-11-20,49.130001,51.700001,48.020000,50.910000,50.910000,1326900
2018-11-21,51.430000,52.959000,51.320000,52.349998,52.349998,755400
2018-11-23,52.189999,53.490002,52.180000,52.900002,52.900002,355800
2018-11-26,53.599998,54.570000,53.130001,54.369999,54.369999,901500
2018-11-27,54.349998,54.549999,53.428001,54.139999,54.139999,794100
2018-11-28,54.759998,57.310001,54.320000,56.750000,56.750000,1431500
2018-11-29,56.389999,56.980000,55.410000,55.980000,55.980000,1104000
2018-11-30,55.860001,56.240002,54.619999,55.220001,55.220001,1269500
2018-12-03,57.020000,57.389999,55.840000,56.880001,56.880001,822300
2018-12-04,57.209999,58.500000,55.410000,55.630001,55.630001,1274600
2018-12-06,54.950001,56.250000,54.060001,56.230000,56.230000,1155100
2018-12-07,56.189999,56.320000,53.049999,53.459999,53.459999,1250200
2018-12-10,53.169998,54.470001,53.039001,53.580002,53.580002,921600
2018-12-11,54.500000,54.990002,53.020000,53.470001,53.470001,852700
2018-12-12,54.450001,55.740002,54.000000,54.910000,54.910000,847600
2018-12-13,55.110001,55.820000,54.090000,54.459999,54.459999,756800
2018-12-14,53.639999,55.099998,53.500000,54.020000,54.020000,690000
2018-12-17,53.770000,54.540001,52.369999,53.310001,53.310001,1219600
2018-12-18,53.810001,54.849998,53.270000,53.889999,53.889999,1144000
2018-12-19,54.060001,55.250000,52.810001,53.529999,53.529999,1207300
2018-12-20,53.090000,53.709999,51.490002,52.049999,52.049999,1362400
2018-12-21,51.930000,52.549999,50.410000,50.639999,50.639999,1850400
2018-12-24,50.000000,50.419998,47.999001,49.049999,49.049999,3451400
2018-12-26,49.459999,51.910000,49.160000,51.700001,51.700001,1471100
2018-12-27,50.849998,53.209999,50.610001,53.209999,53.209999,1458900
2018-12-28,53.680000,53.779999,51.610001,52.580002,52.580002,948700
2018-12-31,52.980000,54.020000,52.820000,53.619999,53.619999,1390500
2019-01-02,52.680000,54.124001,52.150002,53.580002,53.580002,1331700
2019-01-03,53.020000,53.619999,52.200001,52.799999,52.799999,695900
2019-01-04,53.680000,55.360001,53.334999,54.919998,54.919998,1965200
2019-01-07,55.410000,56.700001,55.209999,55.840000,55.840000,1886000
2019-01-08,56.810001,57.799999,56.049999,57.619999,57.619999,1616800
2019-01-09,57.990002,58.980000,57.730000,58.310001,58.310001,1811900
2019-01-10,57.980000,59.230000,57.389999,58.630001,58.630001,1776200
2019-01-11,58.119999,58.799999,57.730000,58.799999,58.799999,952900
2019-01-14,58.400002,58.560001,57.209999,57.220001,57.220001,1262700
2019-01-15,57.240002,58.560001,57.240002,58.000000,58.000000,873800
2019-01-16,58.480000,58.709999,57.730000,57.900002,57.900002,1141700
2019-01-17,57.740002,58.990002,57.740002,58.490002,58.490002,980500
2019-01-18,58.950001,59.520000,58.150002,58.500000,58.500000,1128000
2019-01-22,58.509998,59.340000,57.533001,58.189999,58.189999,1324100
2019-01-23,58.459999,58.860001,56.919998,57.799999,57.799999,1053800
2019-01-24,57.689999,58.133999,57.169998,57.619999,57.619999,702800
2019-01-25,58.380001,58.869999,57.470001,57.570000,57.570000,1368800
2019-01-28,56.990002,58.400002,56.509998,57.740002,57.740002,785400
2019-01-29,57.950001,58.380001,57.180000,57.580002,57.580002,695000
2019-01-30,57.939999,58.470001,57.830002,58.049999,58.049999,1759500
2019-01-31,58.099998,58.209999,57.639999,57.919998,57.919998,1175100
2019-02-01,57.950001,59.080002,57.889999,57.990002,57.990002,1582500
2019-02-04,58.209999,58.720001,57.529999,58.150002,58.150002,2097900
2019-02-05,58.840000,59.910000,58.389999,58.400002,58.400002,2152900
2019-02-06,58.230000,58.389999,57.259998,57.919998,57.919998,1253200
2019-02-07,57.369999,57.810001,56.639999,57.500000,57.500000,1202100
2019-02-08,57.130001,57.500000,56.799999,57.360001,57.360001,731000
2019-02-11,57.500000,58.299999,57.470001,57.900002,57.900002,860800
2019-02-12,58.320000,58.889999,57.959999,58.860001,58.860001,770300
2019-02-13,59.119999,59.410000,58.000000,58.430000,58.430000,661700
2019-02-14,58.000000,58.900002,57.860001,58.639999,58.639999,434300
2019-02-15,59.000000,59.349998,58.509998,58.970001,58.970001,1087100
2019-02-19,59.000000,59.868999,58.560001,58.570000,58.570000,1089700
2019-02-20,58.500000,58.564999,57.840000,58.480000,58.480000,927300
2019-02-21,58.619999,58.724998,57.980000,58.250000,58.250000,619300
2019-02-22,61.509998,61.509998,57.922001,58.000000,58.000000,2243500
2019-02-25,58.070000,58.250000,56.680000,56.720001,56.720001,2454300
2019-02-26,56.900002,57.549999,56.209999,56.889999,56.889999,2515800
2019-02-27,60.900002,61.900002,58.250000,58.450001,58.450001,3806300
2019-02-28,58.279999,59.080002,57.380001,58.779999,58.779999,1942900
2019-03-01,59.410000,61.230000,59.360001,61.169998,61.169998,1987500
2019-03-04,61.549999,61.939999,60.570000,61.740002,61.740002,2279700
2019-03-05,61.930000,63.930000,61.400002,63.619999,63.619999,2267100
2019-03-06,63.869999,64.500000,63.070000,63.779999,63.779999,2089500
2019-03-07,63.660000,64.430000,63.070000,63.889999,63.889999,1458700
2019-03-08,63.400002,64.129997,62.700001,64.040001,64.040001,1319000
2019-03-11,64.500000,65.739998,64.473999,65.730003,65.730003,1263400
2019-03-12,65.839996,66.809998,65.779999,66.570000,66.570000,1213800
2019-03-13,66.900002,67.790001,66.599998,67.059998,67.059998,1671000
2019-03-14,67.080002,67.930000,66.879997,67.769997,67.769997,1000700
2019-03-15,67.680000,67.989998,67.019997,67.300003,67.300003,1473200
2019-03-18,67.540001,67.860001,66.730003,67.250000,67.250000,987900
2019-03-19,67.720001,68.461998,67.169998,68.070000,68.070000,1201900
2019-03-20,68.059998,68.250000,66.911003,67.430000,67.430000,926700
2019-03-21,67.389999,68.339996,67.339996,67.650002,67.650002,1244800
2019-03-22,67.580002,67.739998,66.464996,66.769997,66.769997,1140000
2019-03-25,66.790001,67.699997,66.459999,67.400002,67.400002,1696300
2019-03-26,67.690002,68.029999,66.360001,67.070000,67.070000,1321500
2019-03-27,67.040001,67.419998,65.790001,67.089996,67.089996,919700
2019-03-28,67.410004,68.269997,67.160004,68.000000,68.000000,934700
2019-03-29,68.339996,68.889999,67.430000,68.720001,68.720001,1306500
2019-04-01,69.150002,69.760002,68.620003,69.730003,69.730003,881400
2019-04-02,69.919998,70.769997,69.449997,70.580002,70.580002,1473100
2019-04-03,70.940002,71.360001,69.470001,71.250000,71.250000,2000700
2019-04-04,71.489998,71.639999,70.389999,70.750000,70.750000,2629600
2019-04-05,70.989998,71.769997,70.820000,71.470001,71.470001,1566700
2019-04-08,71.250000,71.290001,69.769997,70.639999,70.639999,1632500
2019-04-09,70.639999,71.054001,70.120003,70.440002,70.440002,1305100
2019-04-10,70.440002,70.910004,70.360001,70.760002,70.760002,647500
2019-04-11,70.760002,71.419998,70.760002,71.220001,71.220001,1066600
2019-04-12,71.730003,72.040001,71.220001,71.500000,71.500000,832800
2019-04-15,71.760002,73.449997,71.650002,73.290001,73.290001,1209800
2019-04-16,73.620003,74.599998,73.139999,73.550003,73.550003,1397200
2019-04-17,73.839996,73.910004,71.870003,72.889999,72.889999,1107200
2019-04-18,72.930000,74.339996,72.480003,73.410004,73.410004,846000
2019-04-22,73.099998,73.849998,72.690002,73.750000,73.750000,954500
2019-04-23,74.290001,74.290001,72.980003,73.110001,73.110001,1109600
2019-04-24,73.239998,75.349998,73.160004,75.029999,75.029999,2359000
2019-04-25,74.919998,75.650002,74.379997,75.449997,75.449997,1334300
2019-04-26,75.440002,76.730003,75.230003,76.220001,76.220001,1310600
2019-04-29,77.000000,77.338997,75.250000,76.070000,76.070000,1460800
2019-04-30,76.070000,76.305000,75.129997,75.699997,75.699997,922200
2019-05-01,76.279999,76.480003,75.309998,75.379997,75.379997,1206800
2019-05-02,75.360001,75.448997,73.620003,75.349998,75.349998,2346200
2019-05-03,70.910004,75.599998,67.500000,72.669998,72.669998,5041900
2019-05-06,71.250000,73.470001,70.980003,73.110001,73.110001,2066100
2019-05-07,73.239998,74.400002,72.653999,74.190002,74.190002,1465000
2019-05-08,74.260002,76.970001,74.260002,76.690002,76.690002,1574700
2019-05-09,76.410004,78.169998,75.449997,78.169998,78.169998,1488600
2019-05-10,77.989998,78.989998,76.580002,78.599998,78.599998,1414600
2019-05-13,77.139999,77.500000,75.419998,75.580002,75.580002,1370900
2019-05-14,76.129997,78.730003,76.129997,78.449997,78.449997,995500
2019-05-15,78.239998,79.419998,77.980003,78.760002,78.760002,1347400
2019-05-16,78.919998,81.139999,78.860001,80.720001,80.720001,1015000
2019-05-17,80.300003,81.760002,79.699997,80.019997,80.019997,1305800
2019-05-20,79.349998,79.668999,77.440002,77.739998,77.739998,1633500
2019-05-21,76.940002,78.089996,75.360001,76.500000,76.500000,2178100
2019-05-22,76.099998,77.138000,75.510002,76.150002,76.150002,1145800
2019-05-23,75.320000,75.500000,73.730003,74.410004,74.410004,1141700
2019-05-24,74.900002,75.879997,74.070000,74.559998,74.559998,1032400
2019-05-28,74.910004,76.709999,74.862999,75.489998,75.489998,1169600
2019-05-29,74.690002,75.269997,73.820000,74.559998,74.559998,1539200
2019-05-30,74.669998,75.709999,74.379997,75.559998,75.559998,628300
2019-05-31,74.820000,77.019997,74.550003,76.470001,76.470001,815800
2019-06-03,76.500000,77.610001,75.559998,76.389999,76.389999,1428900
2019-06-04,77.209999,77.650002,76.110001,77.510002,77.510002,1280700
2019-06-05,78.010002,78.519997,76.760002,77.839996,77.839996,889500
2019-06-06,77.629997,79.000000,77.139999,78.910004,78.910004,1620100
2019-06-07,79.269997,79.419998,77.870003,77.959999,77.959999,1287400
2019-06-10,78.089996,78.930000,77.644997,78.290001,78.290001,1397900
2019-06-11,78.320000,78.930000,76.129997,76.599998,76.599998,1660500
2019-06-12,77.000000,78.879997,76.599998,78.660004,78.660004,1062500
